Date,Time,Count
8/20/2024,16:30,60245
8/21/2024,16:30,60478
8/22/2024,16:30,60658
8/23/2024,16:30,60763
8/26/2024,16:30,60937
8/27/2024,16:30,61117
8/28/2024,12:15,61205
8/28/2024,14:57,61277
8/29/2024,14:05,61420
8/30/2024,12:00,61605
9/3/2024,16:00,61668
9/4/2024,12:47,61791
9/5/2024,12:50,61959
9/6/2024,12:49,62082
9/9/2024,16:49,62255
9/10/2024,13:27,62371
9/10/2024,14:21,62392
9/10/2024,18:19,62441
9/11/2024,12:37,62554
9/11/2024,15:10,62616
9/12/2024,13:35,62749
9/12/2024,18:09,62809
9/13/2024,11:33,62866
9/16/2024,11:44,63018
9/16/2024,13:09,63046
9/17/2024,13:41,63232
9/17/2024,16:52,63290
9/18/2024,13:45,63565
9/19/2024,15:47,63598
9/20/2024,18:31,63711
9/24/2024,12:27,63907
9/24/2024,14:55,63955
9/25/2024,12:55,64076
9/25/2024,15:33,64119
9/26/2024,14:19,64242
9/27/2024,14:16,64433
9/30/2024,13:19,64467
10/1/2024,13:50,64638
10/3/2024,11:37,64932
10/3/2024,14:35,64980
10/4/2024,13:22,65079
10/7/2024,13:42,65219
10/8/2024,12:11,65364
10/9/2024,13:56,65577
10/10/2024,13:52,65762
10/11/2024,12:27,65873
10/11/2024,14:22,65897
10/14/2024,13:29,66039
10/15/2024,13:29,66192
10/17/2024,14:00,66528
10/18/2024,14:50,66657